sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,remSleepSeconds,sleepStartTimestamp,sleepEndTimestamp,deepSleepHours,lightSleepHours,awakeHours,totalSleepHours,totalTimeInBedHours,sleepEfficiency,dayOfWeek,dayOfWeekName,month,monthName,year,quarter,season,sleepTimeHour,wakeTimeHour,deepSleepPercent,rolling_30d,deep_roll,light_roll,sleep_roll,wake_roll,eff_roll
2021-01-07T23:00:00.0,2021-01-08T07:00:00.0,2021-01-08,UNCONFIRMED,,,,,False,,2021-01-07 23:00:00.000,2021-01-08 07:00:00,,,,,8.0,,4,Friday,1,January,2021,1,Winter,23.0,7.0,,,,,,,
2021-01-31T00:34:00.0,2021-01-31T10:28:00.0,2021-01-31,AUTO_CONFIRMED_FINAL,35640.0,0.0,0.0,0.0,False,,2021-01-31 00:34:00.000,2021-01-31 10:28:00,9.9,0.0,0.0,9.9,9.9,100.0,6,Sunday,1,January,2021,1,Winter,0.5666666666666667,10.466666666666667,100.0,,,,,,
2021-02-07T23:00:00.0,2021-02-08T07:00:00.0,2021-02-08,UNCONFIRMED,,,,,False,,2021-02-07 23:00:00.000,2021-02-08 07:00:00,,,,,8.0,,0,Monday,2,February,2021,1,Winter,23.0,7.0,,,,,,,
2021-02-27T21:47:00.0,2021-02-28T02:41:00.0,2021-02-28,AUTO_CONFIRMED,16500.0,720.0,420.0,0.0,False,,2021-02-27 21:47:00.000,2021-02-28 02:41:00,4.583333333333333,0.2,0.11666666666666667,4.783333333333333,4.9,97.6190476190476,6,Sunday,2,February,2021,1,Winter,21.783333333333335,2.6833333333333336,95.81881533101046,,,,,,
2021-03-20T03:15:54.512,2021-03-20T10:59:00.0,2021-03-20,AUTO_CONFIRMED_FINAL,31320.0,240.0,0.0,0.0,False,,2021-03-20 03:15:54.512,2021-03-20 10:59:00,8.7,0.06666666666666667,0.0,8.766666666666666,7.7181911111111114,113.58447258511349,5,Saturday,3,March,2021,1,Spring,3.25,10.983333333333333,99.23954372623575,,,,,,
2021-05-21T22:00:00.0,2021-05-22T06:00:00.0,2021-05-22,UNCONFIRMED,,,,,False,,2021-05-21 22:00:00.000,2021-05-22 06:00:00,,,,,8.0,,5,Saturday,5,May,2021,2,Spring,22.0,6.0,,,,,,,
2021-08-15T23:22:00.0,2021-08-16T06:33:00.0,2021-08-16,AUTO_CONFIRMED_FINAL,17700.0,7500.0,660.0,0.0,False,,2021-08-15 23:22:00.000,2021-08-16 06:33:00,4.916666666666667,2.0833333333333335,0.18333333333333332,7.0,7.183333333333334,97.4477958236659,0,Monday,8,August,2021,3,Summer,23.366666666666667,6.55,70.23809523809524,,,,,,
2021-08-28T22:00:00.0,2021-08-29T06:00:00.0,2021-08-29,UNCONFIRMED,,,,,False,,2021-08-28 22:00:00.000,2021-08-29 06:00:00,,,,,8.0,,6,Sunday,8,August,2021,3,Summer,22.0,6.0,,,,,,,
2021-09-22T22:00:00.0,2021-09-23T06:00:00.0,2021-09-23,UNCONFIRMED,,,,,False,,2021-09-22 22:00:00.000,2021-09-23 06:00:00,,,,,8.0,,3,Thursday,9,September,2021,3,Autumn,22.0,6.0,,,,,,,
2021-10-12T22:00:00.0,2021-10-13T06:00:00.0,2021-10-13,UNCONFIRMED,,,,,False,,2021-10-12 22:00:00.000,2021-10-13 06:00:00,,,,,8.0,,2,Wednesday,10,October,2021,4,Autumn,22.0,6.0,,,,,,,
2022-01-22T23:00:00.0,2022-01-23T07:00:00.0,2022-01-23,UNCONFIRMED,,,,,False,,2022-01-22 23:00:00.000,2022-01-23 07:00:00,,,,,8.0,,6,Sunday,1,January,2022,1,Winter,23.0,7.0,,,,,,,
2022-02-12T23:37:00.0,2022-02-13T08:01:00.0,2022-02-13,AUTO_CONFIRMED_FINAL,17700.0,10140.0,2400.0,0.0,False,,2022-02-12 23:37:00.000,2022-02-13 08:01:00,4.916666666666667,2.816666666666667,0.6666666666666666,7.733333333333334,8.4,92.06349206349206,6,Sunday,2,February,2022,1,Winter,23.616666666666667,8.016666666666667,63.577586206896555,,,,,,
2022-02-13T23:43:00.0,2022-02-14T05:30:00.0,2022-02-14,AUTO_CONFIRMED_FINAL,12180.0,8340.0,300.0,0.0,False,,2022-02-13 23:43:00.000,2022-02-14 05:30:00,3.3833333333333333,2.316666666666667,0.08333333333333333,5.7,5.783333333333333,98.55907780979828,0,Monday,2,February,2022,1,Winter,23.716666666666665,5.5,59.356725146198826,,,,,,
2022-02-14T21:47:00.0,2022-02-15T07:35:00.0,2022-02-15,AUTO_CONFIRMED_FINAL,18720.0,15960.0,600.0,0.0,False,,2022-02-14 21:47:00.000,2022-02-15 07:35:00,5.2,4.433333333333334,0.16666666666666666,9.633333333333333,9.8,98.29931972789115,1,Tuesday,2,February,2022,1,Winter,21.783333333333335,7.583333333333333,53.979238754325266,,,,,,
2022-02-17T01:03:00.0,2022-02-17T07:25:00.0,2022-02-17,AUTO_CONFIRMED_FINAL,15960.0,6600.0,360.0,0.0,False,,2022-02-17 01:03:00.000,2022-02-17 07:25:00,4.433333333333334,1.8333333333333333,0.1,6.266666666666667,6.366666666666666,98.42931937172776,3,Thursday,2,February,2022,1,Winter,1.05,7.416666666666667,70.74468085106383,,,,,,
2022-02-18T00:57:00.0,2022-02-18T08:23:00.0,2022-02-18,AUTO_CONFIRMED_FINAL,15300.0,9120.0,2340.0,0.0,False,,2022-02-18 00:57:00.000,2022-02-18 08:23:00,4.25,2.533333333333333,0.65,6.783333333333333,7.433333333333334,91.25560538116592,4,Friday,2,February,2022,1,Winter,0.95,8.383333333333333,62.65356265356266,,,,19.363888888888887,7.020555555555556,
2022-02-18T23:16:00.0,2022-02-19T07:52:00.0,2022-02-19,AUTO_CONFIRMED_FINAL,20100.0,9600.0,1260.0,0.0,False,,2022-02-18 23:16:00.000,2022-02-19 07:52:00,5.583333333333333,2.6666666666666665,0.35,8.25,8.6,95.93023255813954,5,Saturday,2,February,2022,1,Winter,23.266666666666666,7.866666666666667,67.67676767676767,,,,19.378333333333334,7.007777777777778,
2022-02-19T23:33:00.0,2022-02-20T05:59:00.0,2022-02-20,AUTO_CONFIRMED_FINAL,8580.0,12900.0,1680.0,0.0,False,,2022-02-19 23:33:00.000,2022-02-20 05:59:00,2.3833333333333333,3.5833333333333335,0.4666666666666667,5.966666666666667,6.433333333333334,92.74611398963731,6,Sunday,2,February,2022,1,Winter,23.55,5.983333333333333,39.94413407821229,,,,20.132777777777775,6.916666666666667,
2022-02-20T22:25:00.0,2022-02-21T07:40:00.0,2022-02-21,AUTO_CONFIRMED_FINAL,18120.0,14460.0,720.0,0.0,False,,2022-02-20 22:25:00.000,2022-02-21 07:40:00,5.033333333333333,4.016666666666667,0.2,9.05,9.25,97.83783783783785,0,Monday,2,February,2022,1,Winter,22.416666666666668,7.666666666666667,55.61694290976058,,,,20.106111111111108,6.933888888888889,
2022-02-22T00:03:00.0,2022-02-22T08:03:00.0,2022-02-22,AUTO_CONFIRMED_FINAL,15840.0,9960.0,3000.0,0.0,False,,2022-02-22 00:03:00.000,2022-02-22 08:03:00,4.4,2.7666666666666666,0.8333333333333334,7.166666666666667,8.0,89.58333333333334,1,Tuesday,2,February,2022,1,Winter,0.05,8.05,61.395348837209305,,,,19.386666666666667,7.080555555555555,
2022-02-22T23:35:00.0,2022-02-23T05:12:00.0,2022-02-23,AUTO_CONFIRMED_FINAL,11640.0,8400.0,180.0,0.0,False,,2022-02-22 23:35:00.000,2022-02-23 05:12:00,3.2333333333333334,2.3333333333333335,0.05,5.566666666666666,5.616666666666666,99.10979228486647,2,Wednesday,2,February,2022,1,Winter,23.583333333333332,5.2,58.08383233532935,,,,19.279999999999998,6.938888888888889,
2022-02-23T23:39:00.0,2022-02-24T07:28:00.0,2022-02-24,AUTO_CONFIRMED_FINAL,19080.0,9060.0,0.0,0.0,False,,2022-02-23 23:39:00.000,2022-02-24 07:28:00,5.3,2.5166666666666666,0.0,7.816666666666666,7.816666666666666,100.0,3,Thursday,2,February,2022,1,Winter,23.65,7.466666666666667,67.80383795309169,,,,19.34611111111111,6.902777777777778,
2022-02-24T23:43:00.0,2022-02-25T07:24:00.0,2022-02-25,AUTO_CONFIRMED_FINAL,15240.0,11100.0,1320.0,0.0,False,,2022-02-24 23:43:00.000,2022-02-25 07:24:00,4.233333333333333,3.0833333333333335,0.36666666666666664,7.316666666666666,7.683333333333334,95.22776572668113,4,Friday,2,February,2022,1,Winter,23.716666666666665,7.4,57.85876993166287,,,,19.363333333333333,6.903333333333333,
